2017-12-15 14:06:52.863959: softmax classifer
2017-12-15 14:06:52.864043: Learning rates LR: 1.000000 
2017-12-15 14:08:16.012247: Iter: 2000 [0], loss: 122797.695312, acc: 0.00%, avg_loss: 157766.424236, avg_acc: 23.50%
2017-12-15 14:09:38.672864: Iter: 4000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 144799.016217, avg_acc: 29.68%
2017-12-15 14:11:01.040240: Iter: 6000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 136620.742017, avg_acc: 33.85%
2017-12-15 14:12:24.501097: Iter: 8000 [0], loss: 47199.367188, acc: 0.00%, avg_loss: 129591.597335, avg_acc: 36.71%
2017-12-15 14:13:50.088564: Iter: 10000 [0], loss: 79117.468750, acc: 0.00%, avg_loss: 125714.056709, avg_acc: 38.77%
2017-12-15 14:15:41.505179: Iter: 12000 [0], loss: 103818.281250, acc: 0.00%, avg_loss: 122181.089645, avg_acc: 40.56%
2017-12-15 14:17:24.830463: Iter: 14000 [0], loss: 395658.281250, acc: 0.00%, avg_loss: 119825.301981, avg_acc: 42.05%
2017-12-15 14:18:51.808280: Iter: 16000 [0], loss: 266101.812500, acc: 0.00%, avg_loss: 117292.483063, avg_acc: 43.12%
2017-12-15 14:20:11.909007: Iter: 18000 [0], loss: 178599.937500, acc: 0.00%, avg_loss: 115878.956807, avg_acc: 44.14%
2017-12-15 14:21:58.738879: Iter: 20000 [0], loss: 341863.156250, acc: 0.00%, avg_loss: 114252.140689, avg_acc: 45.17%
2017-12-15 14:23:57.973638: Iter: 22000 [0], loss: 123526.187500, acc: 0.00%, avg_loss: 112219.685139, avg_acc: 46.20%
2017-12-15 14:25:16.413183: Iter: 24000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 111818.932886, avg_acc: 46.78%
2017-12-15 14:26:35.198933: Iter: 26000 [0], loss: 521529.843750, acc: 0.00%, avg_loss: 110146.600302, avg_acc: 47.50%
2017-12-15 14:27:54.245462: Iter: 28000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 109491.790538, avg_acc: 47.98%
2017-12-15 14:29:31.506546: Iter: 30000 [0], loss: 167445.500000, acc: 0.00%, avg_loss: 108652.312973, avg_acc: 48.63%
2017-12-15 14:31:00.369517: Iter: 32000 [0], loss: 219306.625000, acc: 0.00%, avg_loss: 107869.792141, avg_acc: 49.17%
2017-12-15 14:33:01.008412: Iter: 34000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 106955.474940, avg_acc: 49.79%
2017-12-15 14:34:37.723526: Iter: 36000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 106029.569596, avg_acc: 50.29%
2017-12-15 14:36:28.885326: Iter: 38000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 105541.819634, avg_acc: 50.69%
