2017-12-27 21:57:50.769086: softmax classifer
2017-12-27 21:57:50.769170: Learning rates LR: 50.000000 
2017-12-27 21:58:02.682995: Iter: 200 [0], loss: 16141342.000000, acc: 0.00%, avg_loss: 6657670.773462, avg_acc: 14.50%
2017-12-27 21:58:12.950574: Iter: 400 [0], loss: 19014530.000000, acc: 0.00%, avg_loss: 6323422.936731, avg_acc: 19.50%
2017-12-27 21:58:21.163044: Iter: 600 [0], loss: 0.000000, acc: 1.00%, avg_loss: 6238846.195321, avg_acc: 21.67%
2017-12-27 21:58:28.964814: Iter: 800 [0], loss: 2162239.000000, acc: 0.00%, avg_loss: 6012857.250553, avg_acc: 23.25%
2017-12-27 21:58:38.088188: Iter: 1000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5875551.940942, avg_acc: 26.50%
2017-12-27 21:58:45.850717: Iter: 1200 [0], loss: 1883134.000000, acc: 0.00%, avg_loss: 5762514.071098, avg_acc: 27.25%
2017-12-27 21:58:54.370148: Iter: 1400 [0], loss: 6557783.000000, acc: 0.00%, avg_loss: 5819804.512905, avg_acc: 28.43%
2017-12-27 21:59:02.268418: Iter: 1600 [0], loss: 25053386.000000, acc: 0.00%, avg_loss: 5994362.951761, avg_acc: 28.94%
2017-12-27 21:59:10.299123: Iter: 1800 [0], loss: 0.000000, acc: 1.00%, avg_loss: 6000446.051426, avg_acc: 30.06%
2017-12-27 21:59:18.417596: Iter: 2000 [0], loss: 13753838.000000, acc: 0.00%, avg_loss: 5980330.377409, avg_acc: 30.20%
2017-12-27 21:59:27.130887: Iter: 2200 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5849138.652190, avg_acc: 30.95%
2017-12-27 21:59:35.345603: Iter: 2400 [0], loss: 4657707.000000, acc: 0.00%, avg_loss: 5862805.281799, avg_acc: 31.00%
2017-12-27 21:59:43.421749: Iter: 2600 [0], loss: 7595279.500000, acc: 0.00%, avg_loss: 5843031.225411, avg_acc: 31.19%
2017-12-27 21:59:52.510435: Iter: 2800 [0], loss: 24227616.000000, acc: 0.00%, avg_loss: 5896940.029845, avg_acc: 31.32%
2017-12-27 22:00:00.384752: Iter: 3000 [0], loss: 8027443.000000, acc: 0.00%, avg_loss: 5889440.402356, avg_acc: 31.60%
2017-12-27 22:00:08.337210: Iter: 3200 [0], loss: 5793019.500000, acc: 0.00%, avg_loss: 5777110.236896, avg_acc: 32.19%
2017-12-27 22:00:16.840852: Iter: 3400 [0], loss: 7300078.000000, acc: 0.00%, avg_loss: 5704024.841932, avg_acc: 33.03%
2017-12-27 22:00:28.438196: Iter: 3600 [0], loss: 4172820.000000, acc: 0.00%, avg_loss: 5716305.460713, avg_acc: 33.19%
2017-12-27 22:00:40.161317: Iter: 3800 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5636620.914886, avg_acc: 33.84%
2017-12-27 22:00:52.078198: Iter: 4000 [0], loss: 16731919.000000, acc: 0.00%, avg_loss: 5641226.521767, avg_acc: 34.08%
2017-12-27 22:01:04.511264: Iter: 4200 [0], loss: 9798186.000000, acc: 0.00%, avg_loss: 5652453.839183, avg_acc: 34.36%
2017-12-27 22:01:17.117479: Iter: 4400 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5659630.469447, avg_acc: 34.61%
2017-12-27 22:01:29.350051: Iter: 4600 [0], loss: 22265258.000000, acc: 0.00%, avg_loss: 5676922.036536, avg_acc: 34.83%
2017-12-27 22:01:41.516198: Iter: 4800 [0], loss: 13533406.000000, acc: 0.00%, avg_loss: 5630741.293399, avg_acc: 35.27%
2017-12-27 22:01:54.659621: Iter: 5000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5609055.594863, avg_acc: 35.60%
2017-12-27 22:02:07.683182: Iter: 5200 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5592624.763811, avg_acc: 35.71%
2017-12-27 22:02:20.243384: Iter: 5400 [0], loss: 4625408.500000, acc: 0.00%, avg_loss: 5580831.129596, avg_acc: 35.91%
2017-12-27 22:02:33.405379: Iter: 5600 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5592072.613762, avg_acc: 36.00%
2017-12-27 22:02:45.337597: Iter: 5800 [0], loss: 2281822.000000, acc: 0.00%, avg_loss: 5584003.620012, avg_acc: 36.22%
2017-12-27 22:02:57.587760: Iter: 6000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5584258.884928, avg_acc: 36.38%
2017-12-27 22:03:06.570187: Iter: 6200 [0], loss: 8574573.000000, acc: 0.00%, avg_loss: 5539639.930737, avg_acc: 36.82%
2017-12-27 22:03:19.458895: Iter: 6400 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5479767.048526, avg_acc: 37.23%
2017-12-27 22:03:32.347990: Iter: 6600 [0], loss: 37176480.000000, acc: 0.00%, avg_loss: 5459425.315730, avg_acc: 37.41%
2017-12-27 22:03:44.570082: Iter: 6800 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5448374.161922, avg_acc: 37.53%
2017-12-27 22:03:56.836701: Iter: 7000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5428346.240545, avg_acc: 37.74%
2017-12-27 22:04:08.496215: Iter: 7200 [0], loss: 13516270.000000, acc: 0.00%, avg_loss: 5427563.704454, avg_acc: 37.94%
2017-12-27 22:04:21.486034: Iter: 7400 [0], loss: 7822327.500000, acc: 0.00%, avg_loss: 5412233.250009, avg_acc: 38.22%
2017-12-27 22:04:33.897906: Iter: 7600 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5400181.947311, avg_acc: 38.39%
2017-12-27 22:04:46.349983: Iter: 7800 [0], loss: 2470058.000000, acc: 0.00%, avg_loss: 5379634.967925, avg_acc: 38.62%
2017-12-27 22:04:58.714646: Iter: 8000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5342347.858383, avg_acc: 38.90%
2017-12-27 22:05:10.768506: Iter: 8200 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5351433.234398, avg_acc: 39.13%
2017-12-27 22:05:22.388196: Iter: 8400 [0], loss: 8837356.000000, acc: 0.00%, avg_loss: 5349479.237568, avg_acc: 39.37%
