2017-12-27 22:41:55.069601: softmax classifer
2017-12-27 22:41:55.069658: Learning rates LR: 50.000000 
2017-12-27 22:42:02.909211: Iter: 200 [0], loss: 16141342.000000, acc: 0.00%, avg_loss: 6657670.773462, avg_acc: 14.50%
2017-12-27 22:42:10.640971: Iter: 400 [0], loss: 19014530.000000, acc: 0.00%, avg_loss: 6323422.936731, avg_acc: 19.50%
2017-12-27 22:42:18.394881: Iter: 600 [0], loss: 0.000000, acc: 1.00%, avg_loss: 6238846.195321, avg_acc: 21.67%
2017-12-27 22:42:26.128038: Iter: 800 [0], loss: 2162239.000000, acc: 0.00%, avg_loss: 6012857.250553, avg_acc: 23.25%
2017-12-27 22:42:33.903019: Iter: 1000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5875551.940942, avg_acc: 26.50%
2017-12-27 22:42:41.621284: Iter: 1200 [0], loss: 1883134.000000, acc: 0.00%, avg_loss: 5762514.071098, avg_acc: 27.25%
2017-12-27 22:42:49.348235: Iter: 1400 [0], loss: 6557783.000000, acc: 0.00%, avg_loss: 5819804.512905, avg_acc: 28.43%
2017-12-27 22:42:57.061654: Iter: 1600 [0], loss: 25053386.000000, acc: 0.00%, avg_loss: 5994362.951761, avg_acc: 28.94%
2017-12-27 22:43:04.861722: Iter: 1800 [0], loss: 0.000000, acc: 1.00%, avg_loss: 6000446.051426, avg_acc: 30.06%
2017-12-27 22:43:12.755662: Iter: 2000 [0], loss: 13753838.000000, acc: 0.00%, avg_loss: 5980330.377409, avg_acc: 30.20%
2017-12-27 22:43:20.626226: Iter: 2200 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5849138.652190, avg_acc: 30.95%
2017-12-27 22:43:28.520807: Iter: 2400 [0], loss: 4657707.000000, acc: 0.00%, avg_loss: 5862805.281799, avg_acc: 31.00%
2017-12-27 22:43:36.401937: Iter: 2600 [0], loss: 7595279.500000, acc: 0.00%, avg_loss: 5843031.225411, avg_acc: 31.19%
2017-12-27 22:43:44.270793: Iter: 2800 [0], loss: 24227616.000000, acc: 0.00%, avg_loss: 5896940.029845, avg_acc: 31.32%
2017-12-27 22:43:52.153494: Iter: 3000 [0], loss: 8027443.000000, acc: 0.00%, avg_loss: 5889440.402356, avg_acc: 31.60%
2017-12-27 22:44:00.023290: Iter: 3200 [0], loss: 5793019.500000, acc: 0.00%, avg_loss: 5777110.236896, avg_acc: 32.19%
2017-12-27 22:44:07.887603: Iter: 3400 [0], loss: 7300078.000000, acc: 0.00%, avg_loss: 5704024.841932, avg_acc: 33.03%
2017-12-27 22:44:15.756016: Iter: 3600 [0], loss: 4172820.000000, acc: 0.00%, avg_loss: 5716305.460713, avg_acc: 33.19%
2017-12-27 22:44:23.598476: Iter: 3800 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5636620.914886, avg_acc: 33.84%
2017-12-27 22:44:31.412289: Iter: 4000 [0], loss: 16731919.000000, acc: 0.00%, avg_loss: 5641226.521767, avg_acc: 34.08%
2017-12-27 22:44:39.223985: Iter: 4200 [0], loss: 9798186.000000, acc: 0.00%, avg_loss: 5652453.839183, avg_acc: 34.36%
2017-12-27 22:44:47.051321: Iter: 4400 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5659630.469447, avg_acc: 34.61%
2017-12-27 22:44:54.875687: Iter: 4600 [0], loss: 22265258.000000, acc: 0.00%, avg_loss: 5676922.036536, avg_acc: 34.83%
2017-12-27 22:45:02.702612: Iter: 4800 [0], loss: 13533406.000000, acc: 0.00%, avg_loss: 5630741.293399, avg_acc: 35.27%
2017-12-27 22:45:10.557372: Iter: 5000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5609055.594863, avg_acc: 35.60%
2017-12-27 22:45:18.406829: Iter: 5200 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5592624.763811, avg_acc: 35.71%
2017-12-27 22:45:26.329929: Iter: 5400 [0], loss: 4625408.500000, acc: 0.00%, avg_loss: 5580831.129596, avg_acc: 35.91%
2017-12-27 22:45:34.153306: Iter: 5600 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5592072.613762, avg_acc: 36.00%
2017-12-27 22:45:41.945539: Iter: 5800 [0], loss: 2281822.000000, acc: 0.00%, avg_loss: 5584003.620012, avg_acc: 36.22%
2017-12-27 22:45:49.840622: Iter: 6000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5584258.884928, avg_acc: 36.38%
2017-12-27 22:45:57.717003: Iter: 6200 [0], loss: 8574573.000000, acc: 0.00%, avg_loss: 5539639.930737, avg_acc: 36.82%
2017-12-27 22:46:05.544265: Iter: 6400 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5479767.048526, avg_acc: 37.23%
2017-12-27 22:46:13.692401: Iter: 6600 [0], loss: 37176480.000000, acc: 0.00%, avg_loss: 5459425.315730, avg_acc: 37.41%
2017-12-27 22:46:22.040030: Iter: 6800 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5448374.161922, avg_acc: 37.53%
2017-12-27 22:46:29.907351: Iter: 7000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5428346.240545, avg_acc: 37.74%
2017-12-27 22:46:37.777873: Iter: 7200 [0], loss: 13516270.000000, acc: 0.00%, avg_loss: 5427563.704454, avg_acc: 37.94%
2017-12-27 22:46:45.783102: Iter: 7400 [0], loss: 7822327.500000, acc: 0.00%, avg_loss: 5412233.250009, avg_acc: 38.22%
2017-12-27 22:46:53.624604: Iter: 7600 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5400181.947311, avg_acc: 38.39%
2017-12-27 22:47:01.402174: Iter: 7800 [0], loss: 2470058.000000, acc: 0.00%, avg_loss: 5379634.967925, avg_acc: 38.62%
2017-12-27 22:47:09.221593: Iter: 8000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5342347.858383, avg_acc: 38.90%
2017-12-27 22:47:16.972206: Iter: 8200 [0], loss: 0.000000, acc: 1.00%, avg_loss: 5351433.234398, avg_acc: 39.13%
