2017-12-12 11:12:28.851401: softmax classifer
2017-12-12 11:12:28.851475: Learning rates LR: 10.000000 
2017-12-12 11:13:52.432173: Iter: 2000 [0], loss: 1228366.625000, acc: 0.00%, avg_loss: 1577662.949166, avg_acc: 23.50%
2017-12-12 11:15:17.325301: Iter: 4000 [0], loss: 601472.750000, acc: 0.00%, avg_loss: 1476138.205239, avg_acc: 29.30%
2017-12-12 11:16:41.556047: Iter: 6000 [0], loss: 1557601.250000, acc: 0.00%, avg_loss: 1411396.214222, avg_acc: 33.33%
2017-12-12 11:18:06.445964: Iter: 8000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 1327047.341987, avg_acc: 36.27%
2017-12-12 11:19:30.754174: Iter: 10000 [0], loss: 632650.250000, acc: 0.00%, avg_loss: 1290655.644490, avg_acc: 38.38%
2017-12-12 11:20:54.759783: Iter: 12000 [0], loss: 7786921.000000, acc: 0.00%, avg_loss: 1254251.263093, avg_acc: 40.24%
2017-12-12 11:22:32.174699: Iter: 14000 [0], loss: 45998.250000, acc: 0.00%, avg_loss: 1217965.925995, avg_acc: 42.05%
2017-12-12 11:23:56.231602: Iter: 16000 [0], loss: 3009486.750000, acc: 0.00%, avg_loss: 1198858.103589, avg_acc: 43.12%
2017-12-12 11:25:35.734372: Iter: 18000 [0], loss: 270128.875000, acc: 0.00%, avg_loss: 1173247.991607, avg_acc: 44.28%
2017-12-12 11:27:18.662336: Iter: 20000 [0], loss: 4291790.500000, acc: 0.00%, avg_loss: 1156075.349006, avg_acc: 45.27%
2017-12-12 11:28:38.747150: Iter: 22000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 1138170.089900, avg_acc: 46.20%
2017-12-12 11:29:58.408250: Iter: 24000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 1129650.401398, avg_acc: 46.89%
2017-12-12 11:31:18.184845: Iter: 26000 [0], loss: 3869753.250000, acc: 0.00%, avg_loss: 1118105.484103, avg_acc: 47.50%
