2017-12-20 19:07:34.185421: softmax classifer
2017-12-20 19:07:34.185493: Learning rates LR: 100.000000 
2017-12-20 19:08:52.336795: Iter: 2000 [0], loss: 23008220.000000, acc: 0.00%, avg_loss: 12714100.320046, avg_acc: 24.45%
2017-12-20 19:10:31.151067: Iter: 4000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 11817878.380711, avg_acc: 30.23%
2017-12-20 19:11:51.623833: Iter: 6000 [0], loss: 7212204.000000, acc: 0.00%, avg_loss: 11297205.704307, avg_acc: 34.22%
2017-12-20 19:13:38.349254: Iter: 8000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 10844164.997543, avg_acc: 37.16%
2017-12-20 19:15:27.105096: Iter: 10000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 10559924.012684, avg_acc: 39.51%
2017-12-20 19:17:05.018381: Iter: 12000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 10301114.681695, avg_acc: 41.42%
2017-12-20 19:18:28.262237: Iter: 14000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 9954815.142632, avg_acc: 43.11%
2017-12-20 19:19:48.387498: Iter: 16000 [0], loss: 39001120.000000, acc: 0.00%, avg_loss: 9782301.146209, avg_acc: 44.29%
2017-12-20 19:21:29.365798: Iter: 18000 [0], loss: 16308129.000000, acc: 0.00%, avg_loss: 9611874.346936, avg_acc: 45.37%
2017-12-20 19:22:47.843776: Iter: 20000 [0], loss: 28299562.000000, acc: 0.00%, avg_loss: 9431768.487667, avg_acc: 46.37%
2017-12-20 19:24:07.942715: Iter: 22000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 9312658.645879, avg_acc: 47.21%
2017-12-20 19:25:26.436532: Iter: 24000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 9272245.350139, avg_acc: 47.75%
2017-12-20 19:26:44.630313: Iter: 26000 [0], loss: 66835364.000000, acc: 0.00%, avg_loss: 9186321.692648, avg_acc: 48.43%
2017-12-20 19:28:21.361598: Iter: 28000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 9049321.665834, avg_acc: 49.21%
2017-12-20 19:29:39.860394: Iter: 30000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 8965117.890978, avg_acc: 49.84%
2017-12-20 19:30:56.969259: Iter: 32000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 8902156.064073, avg_acc: 50.34%
2017-12-20 19:32:15.354994: Iter: 34000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 8883199.925039, avg_acc: 50.77%
2017-12-20 19:33:32.561447: Iter: 36000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 8787611.965010, avg_acc: 51.34%
2017-12-20 19:34:52.428510: Iter: 38000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 8742181.473075, avg_acc: 51.70%
2017-12-20 19:36:10.733742: Iter: 40000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 8670768.552534, avg_acc: 52.17%
2017-12-20 19:37:31.301249: Iter: 42000 [0], loss: 37837432.000000, acc: 0.00%, avg_loss: 8639350.683532, avg_acc: 52.50%
2017-12-20 19:38:49.782158: Iter: 44000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 8582226.218212, avg_acc: 52.89%
2017-12-20 19:40:21.483538: Iter: 46000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 8530296.572301, avg_acc: 53.20%
2017-12-20 19:41:51.566018: Iter: 48000 [0], loss: 14577810.000000, acc: 0.00%, avg_loss: 8465881.861736, avg_acc: 53.56%
2017-12-20 19:43:24.901880: Iter: 50000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 8426506.705617, avg_acc: 53.84%
2017-12-20 19:44:44.124338: Iter: 52000 [0], loss: 1924246.000000, acc: 0.00%, avg_loss: 8403168.362564, avg_acc: 54.05%
2017-12-20 19:46:12.225513: Iter: 54000 [0], loss: 0.000000, acc: 1.00%, avg_loss: 8341019.915479, avg_acc: 54.41%
2017-12-20 19:46:12.227444: 
Epoch 0: avg_Loss: 8341174.381670815870, avg_Acc: 54.410266856794
2017-12-20 19:46:12.227746: Learning rates changed LR: 30.000000 
2017-12-20 19:47:59.915406: Iter: 56000 [1], loss: 0.000000, acc: 1.00%, avg_loss: 3475936.654000, avg_acc: 72.65%
2017-12-20 19:49:25.999721: Iter: 58000 [1], loss: 0.000000, acc: 1.00%, avg_loss: 3562255.826250, avg_acc: 72.35%
2017-12-20 19:50:58.270982: Iter: 60000 [1], loss: 0.000000, acc: 1.00%, avg_loss: 3425639.504583, avg_acc: 72.47%
2017-12-20 19:52:19.060446: Iter: 62000 [1], loss: 0.000000, acc: 1.00%, avg_loss: 3456754.285312, avg_acc: 72.55%
2017-12-20 19:53:57.580017: Iter: 64000 [1], loss: 4390084.000000, acc: 0.00%, avg_loss: 3400059.022450, avg_acc: 72.90%
2017-12-20 19:55:15.943095: Iter: 66000 [1], loss: 0.000000, acc: 1.00%, avg_loss: 3371805.144917, avg_acc: 72.88%
2017-12-20 19:56:33.599981: Iter: 68000 [1], loss: 17124078.000000, acc: 0.00%, avg_loss: 3394690.680643, avg_acc: 72.66%
2017-12-20 19:57:51.048467: Iter: 70000 [1], loss: 0.000000, acc: 1.00%, avg_loss: 3375017.214156, avg_acc: 72.69%
